iter	Logloss
0	0.6471969651
1	0.6055312119
2	0.5670066461
3	0.5327692056
4	0.5016431725
5	0.4741925061
6	0.4493121528
7	0.4265957842
8	0.4065155221
9	0.3884371862
10	0.3723538082
11	0.3573020191
12	0.3441194738
13	0.3319678894
14	0.3214393788
15	0.3114869084
16	0.3027683783
17	0.2949850235
18	0.2878851513
19	0.281273647
20	0.2749274142
21	0.2695305658
22	0.2647407354
23	0.2604220719
24	0.2563710705
25	0.2529121275
26	0.2495196778
27	0.2464050767
28	0.2435588456
29	0.2409927552
30	0.2385794291
31	0.2363078315
32	0.2343743581
33	0.232317167
34	0.2305654453
35	0.2290747556
36	0.227295433
37	0.2259815326
38	0.2244657657
39	0.2233649732
40	0.2219242874
41	0.2208592028
42	0.2198470806
43	0.2189430198
44	0.2179941343
45	0.2170850123
46	0.2164122523
47	0.2156852545
48	0.2149947855
49	0.2142761468
50	0.2136969626
51	0.2130374499
52	0.2125283628
53	0.2119443783
54	0.211375437
55	0.210758184
56	0.2101107372
57	0.2096502529
58	0.2093489577
59	0.2088652877
60	0.2083999274
61	0.208060601
62	0.2076497361
63	0.2074146959
64	0.207048021
65	0.2066049305
66	0.2063123535
67	0.2060016133
68	0.2055239528
69	0.2050441458
70	0.2046732709
71	0.2042085994
72	0.2039451116
73	0.2037065286
74	0.203469066
75	0.2031885056
76	0.2028949001
77	0.2025398553
78	0.2022420324
79	0.2019934032
80	0.2017131676
81	0.20136481
82	0.2010689018
83	0.2008470707
84	0.2005946598
85	0.2003277409
86	0.2000897883
87	0.1998721138
88	0.1995836283
89	0.1993871932
90	0.1991379603
91	0.1989532437
92	0.1987773002
93	0.198445639
94	0.1980971669
95	0.197798812
96	0.1976567796
97	0.1974637798
98	0.1973005619
99	0.1970708006
100	0.1969125428
101	0.1966620577
102	0.1964294834
103	0.1961874068
104	0.1959349414
105	0.1957448477
106	0.1955426924
107	0.1953694471
108	0.1951648337
109	0.1950286048
110	0.19488074
111	0.1947178069
112	0.1946604885
113	0.1945504803
114	0.1943147805
115	0.1941675986
116	0.1939753599
117	0.1938894928
118	0.193648452
119	0.1934901991
120	0.1933282324
121	0.1931565229
122	0.1930808752
123	0.192909491
124	0.1927477029
125	0.1925509516
126	0.1923675828
127	0.1922787064
128	0.1921242093
129	0.1919151568
130	0.1917970005
131	0.1916835172
132	0.1915399721
133	0.1913774255
134	0.1912066137
135	0.1910347934
136	0.1908483616
137	0.1906769064
138	0.1905010048
139	0.1903398281
140	0.1902147067
141	0.1900455588
142	0.1898762965
143	0.1895997645
144	0.1893887961
145	0.1892001096
146	0.1890622303
147	0.1889243109
148	0.1887498065
149	0.1885557189
150	0.1883800293
151	0.1882647071
152	0.1881069371
153	0.187912898
154	0.187840756
155	0.1877287073
156	0.1876322211
157	0.1874784784
158	0.1872465708
159	0.1870641562
160	0.1869201447
161	0.1867416054
162	0.1865543494
163	0.1863940705
164	0.1863147379
165	0.1862494293
166	0.1861195586
167	0.1859283023
168	0.1858535741
169	0.1856216345
170	0.1855362066
171	0.1853717854
172	0.1852237745
173	0.1851320392
174	0.1849935687
175	0.1848679351
176	0.1846991094
177	0.18452956
178	0.1844622201
179	0.1843422516
180	0.1842691832
181	0.184122858
182	0.1839242453
183	0.1837994548
184	0.1837519925
185	0.1836271302
186	0.1835499769
187	0.183392944
188	0.1832290249
189	0.1830849553
190	0.1830171758
191	0.1828867362
192	0.1827345193
193	0.1826142844
194	0.1825238427
195	0.1824251511
196	0.1823410294
197	0.1822261313
198	0.18212264
199	0.1819327984
200	0.181808811
201	0.1816937953
202	0.1815602019
203	0.181448647
204	0.1813344554
205	0.1812177233
206	0.1811191522
207	0.1810670467
208	0.180931082
209	0.1807698237
210	0.1806693459
211	0.1805292963
212	0.1803750248
213	0.1802114929
214	0.1800630114
215	0.1799154078
216	0.1798168758
217	0.1797064361
218	0.1796075405
219	0.1794956892
220	0.1794313138
221	0.1792867752
222	0.1791164562
223	0.1790314948
224	0.1787733266
225	0.1785527506
226	0.1784301449
227	0.1782538252
228	0.1781404595
229	0.178043277
230	0.1779327211
231	0.1778704661
232	0.1777433667
233	0.1776408826
234	0.1775760866
235	0.1775105341
236	0.1773926789
237	0.1772653184
238	0.1771928429
239	0.1769965021
240	0.1768804311
241	0.1767645894
242	0.1765540131
243	0.176390539
244	0.1762765088
245	0.1761712094
246	0.1760964282
247	0.1759461488
248	0.1758203302
249	0.1756757284
250	0.1754889942
251	0.1753854127
252	0.1752348289
253	0.1751400519
254	0.1750759408
255	0.174874643
256	0.1747460038
257	0.1746569825
258	0.174562968
259	0.1744364452
260	0.1742510483
261	0.1741294501
262	0.1740619783
263	0.173938272
264	0.1738220411
265	0.1737158398
266	0.1735901965
267	0.1734042822
268	0.1732795336
269	0.1731429692
270	0.1730545943
271	0.1729204913
272	0.1728031602
273	0.1726230348
274	0.1725332998
275	0.1723857203
276	0.1722410598
277	0.1721441857
278	0.1719963272
279	0.1718618494
280	0.1717460385
281	0.1715962519
282	0.1714870362
283	0.1713875764
284	0.1712888234
285	0.1711809289
286	0.171083144
287	0.1709679677
288	0.1708920179
289	0.1707560745
290	0.1705910105
291	0.1703897421
292	0.1702414367
293	0.1701103831
294	0.1700025972
295	0.1698795258
296	0.1697895977
297	0.1697086872
298	0.1696211922
299	0.1694981015
300	0.1693891653
301	0.1692809082
302	0.1691896846
303	0.1689450392
304	0.1688716242
305	0.1687367748
306	0.1686098675
307	0.1685189042
308	0.1683683835
309	0.168267818
310	0.1681481018
311	0.1680844563
312	0.1679643642
313	0.1678701868
314	0.1677982151
315	0.1675566111
316	0.1674269595
317	0.1672722325
318	0.167175107
319	0.1670620977
320	0.1669709274
321	0.1667945664
322	0.1667069435
323	0.1666216109
324	0.1665277935
325	0.1664204019
326	0.1662917864
327	0.1662258065
328	0.1660199248
329	0.1659289527
330	0.1657943947
331	0.1657583643
332	0.1656693257
333	0.1656018079
334	0.1655363536
335	0.1654476543
336	0.1653803393
337	0.1653327973
338	0.1651805103
339	0.1650714764
340	0.1649943136
341	0.1649304171
342	0.1648215286
343	0.1647453033
344	0.164667432
345	0.1645526509
346	0.164477266
347	0.1643568219
348	0.1641945786
349	0.1640905945
350	0.164005512
351	0.1639148279
352	0.1638303746
353	0.1638034269
354	0.163703906
355	0.1636366664
356	0.1635060334
357	0.1634467866
358	0.1633550932
359	0.1632424539
360	0.1631192551
361	0.1630163839
362	0.1629247898
363	0.1628315412
364	0.1627170798
365	0.162643745
366	0.1625637874
367	0.1625054187
368	0.1623379822
369	0.162299496
370	0.1622330462
371	0.1621115233
372	0.161947016
373	0.1618377524
374	0.1617853461
375	0.1616996795
376	0.1616153377
377	0.1615499562
378	0.1614844863
379	0.1613591336
380	0.1612987975
381	0.1612184767
382	0.1611122391
383	0.1610185559
384	0.1609189519
385	0.1606838196
386	0.1605502803
387	0.1603764138
388	0.1602606727
389	0.1601724179
390	0.1601388694
391	0.1600500873
392	0.1599062394
393	0.1598504973
394	0.1597600573
395	0.1596840558
396	0.1595977473
397	0.1594656213
398	0.1593962685
399	0.159314986
400	0.1592230018
401	0.159155057
402	0.1589847806
403	0.1588636568
404	0.1587875889
405	0.1586869196
406	0.1586020583
407	0.1584180353
408	0.1582543368
409	0.1581727311
410	0.1580599029
411	0.1579238054
412	0.1578560249
413	0.1577465737
414	0.1576136699
415	0.1575010763
416	0.1573559522
417	0.1572121292
418	0.1571312124
419	0.1570510438
420	0.1570090387
421	0.1568963972
422	0.1568208071
423	0.1567345439
424	0.1566779411
425	0.1565539024
426	0.1564765437
427	0.1563920056
428	0.1562701156
429	0.1562125271
430	0.156083469
431	0.1559914145
432	0.1558578405
433	0.1557413733
434	0.1556306608
435	0.1554654505
436	0.1554023216
437	0.1552989055
438	0.1552426368
439	0.1551461849
440	0.1549588361
441	0.1548670651
442	0.154773576
443	0.1546704548
444	0.1545762946
445	0.1544559013
446	0.1544069143
447	0.1543205806
448	0.154193178
449	0.1541053961
450	0.1539514512
451	0.1538671509
452	0.1537634908
453	0.1536946272
454	0.1536225718
455	0.1535223887
456	0.1533897486
457	0.1533255389
458	0.1531822677
459	0.1531073225
460	0.153000327
461	0.1528927371
462	0.1528203923
463	0.1527162493
464	0.1526361639
465	0.1524834298
466	0.1523805775
467	0.1523058373
468	0.1522401732
469	0.1521700579
470	0.1520887956
471	0.1520339635
472	0.15193567
473	0.1517968155
474	0.1517165953
475	0.1516662942
476	0.1515315729
477	0.1514570148
478	0.1513365285
479	0.1512156927
480	0.1511008913
481	0.1509917247
482	0.1509145162
483	0.1508446843
484	0.1507234075
485	0.1506400987
486	0.1504969127
487	0.1504417205
488	0.1503856719
489	0.150298171
490	0.1502197794
491	0.1501757648
492	0.1501049455
493	0.1500024576
494	0.1499493479
495	0.1498953142
496	0.1498244155
497	0.149752373
498	0.1496608707
499	0.149595095
500	0.1495178427
501	0.1494456174
502	0.1493953689
503	0.1493166625
504	0.1492562108
505	0.1492410743
506	0.1491914974
507	0.1491324938
508	0.1490801114
509	0.1489805016
510	0.1488970099
511	0.1488418451
512	0.1487058389
513	0.1486396147
514	0.1485774059
515	0.1484732804
516	0.1484210752
517	0.1483245867
518	0.1482456268
519	0.1481820132
520	0.1480809423
521	0.1480086416
522	0.1479399552
523	0.1478244386
524	0.1476695521
525	0.1476102843
526	0.1474886784
527	0.1474299274
528	0.1473406238
529	0.1472317944
530	0.1471542974
531	0.1471189585
532	0.1470095594
533	0.146946258
534	0.1468875242
535	0.1468156328
536	0.146742185
537	0.1467114594
538	0.1465849863
539	0.1465178505
540	0.1464119046
541	0.1463178114
542	0.1462242335
543	0.1461366049
544	0.1460511945
545	0.1459622442
546	0.1458991498
547	0.1458496969
548	0.1457892088
549	0.1457200507
550	0.1456570998
551	0.1455841098
552	0.1455250806
553	0.1454662532
554	0.1453909209
555	0.1452875866
556	0.1452561678
557	0.1451985613
558	0.1451228213
559	0.1450502659
560	0.1449340617
561	0.1448055081
562	0.1447231338
563	0.144631521
564	0.1445808279
565	0.1445272789
566	0.1444995261
567	0.1444271645
568	0.1443681682
569	0.1442768207
570	0.1441557988
571	0.1440743528
572	0.1439658105
573	0.1438912778
574	0.1438207342
575	0.143780656
576	0.1436971966
577	0.1436294427
578	0.1435671189
579	0.1434370401
580	0.1433289126
581	0.1432827451
582	0.1432055554
583	0.1431162842
584	0.1429938477
585	0.1428960732
586	0.1428113482
587	0.1427260075
588	0.1426553314
589	0.1425570602
590	0.1424445926
591	0.1423910536
592	0.1422829373
593	0.1422108329
594	0.1421444489
595	0.1421127854
596	0.1420487604
597	0.1419693223
598	0.1418863431
599	0.1418232328
600	0.1417547995
601	0.1416545212
602	0.1415623901
603	0.141491565
604	0.1414188163
605	0.1413448988
606	0.1413116676
607	0.1412282965
608	0.1411121905
609	0.1410798038
610	0.1410101187
611	0.1409466205
612	0.1408770937
613	0.1407736271
614	0.1407014311
615	0.1406382081
616	0.1405832956
617	0.1405193153
618	0.1404214681
619	0.1403384879
620	0.1402650616
621	0.1402079987
622	0.1401175879
623	0.1400582493
624	0.1399941984
625	0.1399781463
626	0.1398719906
627	0.1398190816
628	0.1397194116
629	0.1396631384
630	0.1395769019
631	0.1395178041
632	0.1394676981
633	0.1394064058
634	0.1393339469
635	0.1392506828
636	0.1392036999
637	0.1391639236
638	0.1391105414
639	0.1390602387
640	0.1389757155
641	0.1388987868
642	0.1388376001
643	0.1388040133
644	0.1387562273
645	0.1386829003
646	0.1386161704
647	0.1385526209
648	0.1384992078
649	0.1384678747
650	0.1384070567
651	0.1383515562
652	0.1382826947
653	0.1382118701
654	0.1381508162
655	0.1380979746
656	0.1380461391
657	0.1379798706
658	0.1379055767
659	0.1378264131
660	0.1377930278
661	0.1377316939
662	0.1376919952
663	0.1376357888
664	0.1375417668
665	0.1374972286
666	0.1374356022
667	0.1373481534
668	0.1372698805
669	0.1372233671
670	0.1371734226
671	0.1371267079
672	0.1370677341
673	0.1370140444
674	0.1369703862
675	0.1369285877
676	0.1368820139
677	0.136810075
678	0.1367572287
679	0.1366578384
680	0.1364765649
681	0.1364074061
682	0.136340168
683	0.1362670143
684	0.1362052656
685	0.1361474611
686	0.1360334612
687	0.1359721928
688	0.1359003094
689	0.135810146
690	0.1357721299
691	0.1356846158
692	0.1356486942
693	0.1355833369
694	0.1355490099
695	0.1354800779
696	0.1354400951
697	0.1353916844
698	0.1353176248
699	0.1352983578
700	0.1352440667
701	0.1351558093
702	0.1350582244
703	0.1350369339
704	0.13498746
705	0.1349492004
706	0.1348760189
707	0.1347818725
708	0.1347083909
709	0.1346505919
710	0.1345991307
711	0.1345082873
712	0.134450369
713	0.1343872736
714	0.1343386169
715	0.1342536439
716	0.1341930466
717	0.1341297789
718	0.1340255725
719	0.1339507161
720	0.1338755084
721	0.1338378289
722	0.1337537038
723	0.133690907
724	0.1336252273
725	0.1335884446
726	0.1335400949
727	0.1335011697
728	0.1334145315
729	0.1333385426
730	0.1332627944
731	0.1332279881
732	0.133196759
733	0.1331579539
734	0.1330858569
735	0.1330519981
736	0.1329897948
737	0.1329240585
738	0.1328801009
739	0.1328266316
740	0.1327844355
741	0.1326971682
742	0.132608579
743	0.132566518
744	0.1325123476
745	0.1324779325
746	0.1324150781
747	0.1323293521
748	0.1322290851
749	0.1321506911
750	0.1320765082
751	0.1320478911
752	0.131985707
753	0.1318850978
754	0.131840662
755	0.131801693
756	0.131739152
757	0.1316920817
758	0.1316168167
759	0.1315733938
760	0.1315119763
761	0.1314617254
762	0.1313773498
763	0.1313224683
764	0.131273769
765	0.1312275678
766	0.1311830611
767	0.1311645172
768	0.1311038871
769	0.1310361425
770	0.1309597168
771	0.1309341849
772	0.1308839333
773	0.1308307808
774	0.1307757843
775	0.1306711572
776	0.1305983746
777	0.1305261721
778	0.1304458465
779	0.1303904089
780	0.1303189425
781	0.130256714
782	0.130178088
783	0.1301190819
784	0.1300712305
785	0.1300160764
786	0.1299497767
787	0.1299220683
788	0.1298736052
789	0.1297945745
790	0.129774429
791	0.1297042165
792	0.1296467618
793	0.1296054303
794	0.1295421338
795	0.1294534719
796	0.1294351609
797	0.129420555
798	0.1293833384
799	0.129291669
800	0.1292521781
801	0.1291997457
802	0.1291565978
803	0.1291375072
804	0.1290627508
805	0.1290174941
806	0.1289756514
807	0.1288791477
808	0.1288153212
809	0.128710825
810	0.1286292226
811	0.1285867127
812	0.128544259
813	0.1285093453
814	0.1284468334
815	0.1283726589
816	0.1282898417
817	0.1282499555
818	0.1281953207
819	0.128117051
820	0.1280936592
821	0.1280714057
822	0.1280015108
823	0.1279132164
824	0.127885746
825	0.127845041
826	0.1278039758
827	0.1277466701
828	0.1277060001
829	0.1276859774
830	0.1275841254
831	0.1275158209
832	0.12748341
833	0.1274176187
834	0.1273475816
835	0.1272629315
836	0.1271912536
837	0.1271295819
838	0.1270814035
839	0.1270185608
840	0.1269328723
841	0.1268639064
842	0.1268118517
843	0.1267881881
844	0.1267625302
845	0.1266704657
846	0.1266150336
847	0.1265791941
848	0.1265290602
849	0.1264865651
850	0.1264367513
851	0.1263793181
852	0.1263131996
853	0.1262576778
854	0.1262031304
855	0.1261424876
856	0.1260861637
857	0.1260167299
858	0.1259860612
859	0.125908502
860	0.1258526058
861	0.125787691
862	0.1257301954
863	0.1256895988
864	0.1256569333
865	0.1255985338
866	0.125558365
867	0.1255217251
868	0.1254608064
869	0.1254223539
870	0.1253500634
871	0.1253402653
872	0.1252810686
873	0.1252614523
874	0.125233873
875	0.1252141344
876	0.1251747313
877	0.1251484259
878	0.1250547949
879	0.1250114866
880	0.124946153
881	0.1248710747
882	0.124819409
883	0.12475589
884	0.1247111346
885	0.1246466986
886	0.1246103679
887	0.1245855868
888	0.1245490462
889	0.1245190762
890	0.1244669934
891	0.1244257521
892	0.1243877041
893	0.1243472449
894	0.1242814033
895	0.1242539851
896	0.1242182287
897	0.1241520307
898	0.1241184825
899	0.1240916544
900	0.1240359805
901	0.1239781294
902	0.1239354715
903	0.1238973019
904	0.1238434557
905	0.1237947459
906	0.123729455
907	0.1236653736
908	0.1236032489
909	0.1235492018
910	0.12352659
911	0.1235069474
912	0.123460538
913	0.1234452507
914	0.1233895822
915	0.1233656187
916	0.1233090416
917	0.1232583489
918	0.1232013328
919	0.1231511136
920	0.1230970003
921	0.123056548
922	0.1230071673
923	0.1229354487
924	0.1228736724
925	0.1228448615
926	0.1227839649
927	0.1227694764
928	0.1226845747
929	0.1226522535
930	0.1226338926
931	0.1225856895
932	0.1225298621
933	0.1225114853
934	0.1224854738
935	0.1223868531
936	0.1222970425
937	0.1222558198
938	0.1221998015
939	0.1221571519
940	0.1221087604
941	0.1220402257
942	0.1220105607
943	0.1219723973
944	0.1219118564
945	0.1218854377
946	0.1218075193
947	0.1217571677
948	0.1217361342
949	0.1216691488
950	0.1216369978
951	0.121608769
