iter	Passed	Remaining
409	4869	7006
410	4881	6995
411	4891	6981
412	4906	6974
413	4917	6961
414	4928	6946
415	4939	6933
416	4949	6919
417	4959	6905
418	4970	6892
419	4980	6877
420	4989	6862
421	5001	6850
422	5010	6835
423	5021	6821
424	5031	6807
425	5041	6792
426	5051	6779
427	5063	6767
428	5074	6754
429	5085	6741
430	5097	6729
431	5110	6719
432	5122	6707
433	5133	6695
434	5145	6683
435	5157	6671
436	5166	6656
437	5177	6643
438	5188	6630
439	5197	6615
440	5209	6602
441	5221	6591
442	5230	6576
443	5242	6564
444	5254	6553
445	5264	6539
446	5275	6525
447	5286	6513
448	5296	6499
449	5309	6488
450	5320	6476
451	5333	6466
452	5345	6454
453	5357	6443
454	5367	6429
455	5378	6415
456	5388	6401
457	5400	6390
458	5410	6376
459	5421	6363
460	5432	6351
461	5442	6338
462	5454	6326
463	5466	6314
464	5476	6301
465	5492	6293
466	5505	6283
467	5523	6278
468	5536	6268
469	5550	6258
470	5564	6249
471	5578	6240
472	5593	6232
473	5610	6225
474	5625	6217
475	5637	6205
476	5653	6198
477	5664	6185
478	5679	6177
479	5691	6165
480	5704	6155
481	5718	6145
482	5730	6133
483	5744	6124
484	5757	6113
485	5769	6101
486	5783	6091
487	5795	6080
488	5809	6070
489	5820	6057
490	5833	6047
491	5844	6034
492	5856	6023
493	5868	6010
494	5881	6000
495	5893	5988
496	5938	6010
497	5958	6006
498	5978	6002
499	6001	6001
500	6018	5994
501	6033	5985
502	6047	5975
503	6061	5965
504	6071	5951
505	6081	5937
506	6092	5924
507	6102	5909
508	6113	5896
509	6125	5884
510	6136	5872
511	6152	5864
512	6168	5855
513	6185	5848
514	6201	5839
515	6215	5829
516	6228	5818
517	6243	5809
518	6256	5798
519	6267	5785
520	6281	5775
521	6292	5762
522	6304	5749
523	6314	5736
524	6326	5723
525	6340	5713
526	6351	5700
527	6362	5688
528	6373	5674
529	6385	5662
530	6396	5649
531	6406	5635
532	6418	5624
533	6431	5612
534	6442	5599
535	6456	5589
536	6470	5578
537	6484	5568
538	6496	5556
539	6511	5546
540	6525	5536
541	6538	5525
542	6558	5520
543	6575	5511
544	6590	5502
545	6605	5492
546	6616	5479
547	6629	5468
548	6640	5455
549	6653	5444
550	6667	5433
551	6681	5422
552	6694	5411
553	6705	5398
554	6719	5387
555	6732	5375
556	6747	5366
557	6760	5354
558	6771	5341
559	6784	5330
560	6797	5319
561	6812	5309
562	6822	5295
563	6832	5282
564	6843	5269
565	6854	5256
566	6864	5242
567	6876	5229
568	6886	5216
569	6898	5203
570	6909	5191
571	6922	5179
572	6935	5168
573	6954	5161
574	6971	5152
575	6985	5141
576	7002	5133
577	7017	5123
578	7030	5111
579	7043	5100
580	7059	5091
581	7074	5080
582	7085	5067
583	7097	5055
584	7107	5042
585	7118	5029
586	7129	5016
587	7144	5005
588	7156	4993
589	7167	4981
590	7178	4967
591	7188	4954
592	7200	4941
593	7209	4927
594	7221	4915
595	7233	4903
596	7244	4890
597	7255	4877
598	7266	4864
599	7276	4851
600	7285	4836
601	7297	4824
602	7308	4811
603	7318	4798
604	7330	4786
605	7342	4774
606	7354	4761
607	7367	4750
608	7378	4737
609	7392	4726
610	7410	4718
611	7427	4708
612	7441	4698
613	7456	4687
614	7470	4676
615	7483	4665
616	7497	4653
617	7513	4644
618	7530	4634
619	7545	4624
620	7562	4615
621	7575	4603
622	7586	4591
623	7597	4578
624	7610	4566
625	7620	4553
626	7630	4539
627	7640	4525
628	7650	4512
629	7662	4500
630	7674	4487
631	7684	4474
632	7695	4461
633	7707	4449
634	7716	4435
635	7726	4422
636	7737	4409
637	7749	4397
638	7760	4384
639	7774	4373
640	7785	4360
641	7797	4348
642	7807	4334
643	7818	4321
644	7827	4308
645	7836	4294
646	7849	4282
647	7863	4271
648	7879	4261
649	7891	4249
650	7906	4238
651	7921	4227
652	7934	4216
653	7946	4204
654	7963	4194
655	7978	4183
656	7994	4173
657	8010	4163
658	8024	4152
659	8037	4140
660	8048	4127
661	8057	4114
662	8068	4101
663	8078	4087
664	8089	4075
665	8101	4062
666	8112	4050
667	8122	4036
668	8132	4023
669	8142	4010
670	8152	3997
671	8164	3985
672	8178	3973
673	8189	3960
674	8198	3947
675	8210	3935
676	8221	3922
677	8233	3910
678	8242	3896
679	8252	3883
680	8263	3870
681	8275	3858
682	8285	3845
683	8295	3832
684	8305	3819
685	8315	3806
686	8327	3793
687	8338	3781
688	8349	3768
689	8366	3758
690	8382	3748
691	8395	3736
692	8408	3725
693	8424	3714
694	8440	3703
